Input State, Input Size, SelectionSort,RadixSort,InsertionSort,CoutingSort,ShakerSort,MergeSort,HeapSort,QuickSort,InterchangeSort,BubbleSort,
Sorted, 1000,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 
Reversed, 1000,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0, 
Random, 1000,  1,  0,  0,  0,  0,  0,  0,  0,  1,  0, 
NearlySorted, 1000,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0, 
Sorted, 5000,  26,  0,  0,  0,  0,  0,  0,  0,  11,  13, 
Reversed, 5000,  25,  0,  6,  0,  18,  0,  0,  0,  15,  14, 
Random, 5000,  27,  0,  3,  0,  18,  0,  0,  0,  46,  23, 
NearlySorted, 5000,  26,  0,  1,  0,  7,  0,  0,  0,  23,  14, 
Sorted, 10000,  101,  0,  0,  0,  0,  0,  0,  0,  44,  52, 
Reversed, 10000,  104,  0,  25,  0,  68,  1,  0,  0,  59,  56, 
Random, 10000,  103,  0,  11,  0,  89,  1,  0,  0,  179,  120, 
NearlySorted, 10000,  102,  0,  4,  0,  29,  0,  0,  0,  95,  60, 
Sorted, 50000,  2676,  2,  0,  4,  0,  0,  4,  0,  1142,  1295, 
Reversed, 50000,  2651,  2,  621,  3,  1591,  6,  4,  0,  1484,  1360, 
Random, 50000,  2574,  2,  297,  0,  2849,  9,  4,  3,  4644,  3824, 
NearlySorted, 50000,  2533,  2,  115,  0,  859,  2,  3,  2,  2418,  2160, 
Sorted, 100000,  10828,  6,  0,  6,  0,  0,  8,  2,  6012,  5898, 
Reversed, 100000,  11684,  5,  2856,  6,  6310,  13,  9,  1,  6609,  6028, 
Random, 100000,  11392,  8,  1395,  0,  11411,  19,  9,  11,  17840,  16934, 
NearlySorted, 100000,  11334,  7,  569,  0,  3524,  7,  11,  6,  9273,  10410, 
Sorted, 250000,  75797,  17,  0,  20,  0,  2,  26,  4,  32863,  38497, 
Reversed, 250000,  70702,  22,  19396,  19,  39025,  34,  24,  4,  40161,  37576, 
Random, 250000,  70137,  17,  8372,  0,  70348,  52,  30,  21,  74112,  106661, 
NearlySorted, 250000,  70405,  15,  3487,  0,  22135,  13,  25,  16,  40367,  63024, 
